Term,edf,Ref.df,F_value,p_value
"s(DOY):interaction(TRT, Period)CLEARCUT.Pre2021",2.648204161632235,3.319338379818099,3.1138807729076223,0.02001016954334295
"s(DOY):interaction(TRT, Period)CON.Pre2021",3.545807449088098,4.437106011225397,6.846471915769736,1.0345930837596384e-5
"s(DOY):interaction(TRT, Period)OLD_GROWTH.Pre2021",1.4888116928193265,1.8250474799573067,0.4954826289930408,0.6581874461323132
"s(DOY):interaction(TRT, Period)THIN.Pre2021",2.7318950057139273,3.4252073509701204,6.182224248293405,2.0638011364115805e-4
"s(DOY):interaction(TRT, Period)CLEARCUT.2021",2.6541494463903,3.3158552540912125,4.906817889911839,0.001553542904130234
"s(DOY):interaction(TRT, Period)CON.2021",1.7698585977722703,2.1968402187381955,15.296369002589046,5.7597865699143824e-8
"s(DOY):interaction(TRT, Period)OLD_GROWTH.2021",1.0130101535369662,1.0256722844093809,2.982790474290334,0.08113236842669885
"s(DOY):interaction(TRT, Period)THIN.2021",1.8943280689326762,2.359001558617731,6.151452432378675,0.0015407515777166036
"s(DOY):interaction(TRT, Period)CLEARCUT.Post2021",8.069631802741187,8.72080904200094,10.844546759775575,0
"s(DOY):interaction(TRT, Period)CON.Post2021",8.468897838182007,8.916286157041835,88.5053693132615,0
"s(DOY):interaction(TRT, Period)OLD_GROWTH.Post2021",6.139553889896,7.244413170158749,13.173573671524204,0
"s(DOY):interaction(TRT, Period)THIN.Post2021",8.494107027616021,8.921337852458468,72.59121091996377,0
